model,id,title,authors
book.book,629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig
book.book,639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto
book.book,642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele
book.book,643,Motorcycle Basics Techbook,John Harold Haynes
book.book,650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner
book.book,655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean
book.book,656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude
book.book,658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett
book.book,662,Atlas Shrugged,Ayn Rand/Leonard Peikoff
book.book,663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand
book.book,664,The Fountainhead,Ayn Rand
book.book,665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden
book.book,667,Anthem,Ayn Rand
book.book,668,We the Living,Ayn Rand/Leonard Peikoff
book.book,669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen
book.book,670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff
book.book,672,Sailing for Dummies,J.J. Isler/Peter Isler
book.book,675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells
book.book,676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins
book.book,678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell
book.book,681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau
book.book,685,The Natural,Bernard Malamud/Kevin Baker
book.book,698,Digging to America,Anne Tyler
book.book,700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle
book.book,702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith
book.book,703,The Plot Against America,Philip Roth
book.book,707,Naked Pictures of Famous People,Jon   Stewart
